FSA,"Population, 2016",Government transfers (% of total income),Median total income of households ($),Average total income of households ($),Total - low-income status,Total visible minority population,Not a visible minority,Unemployment rate
P6B,22847.0,18.1,57710.0,73250.0,22270.0,1015.0,21380.0,10.3
P0R,12479.0,20.4,56666.0,71052.0,11710.0,145.0,12105.0,10.0
P0M,49750.0,14.2,74467.0,89105.0,47845.0,465.0,48825.0,9.2
P5A,10741.0,31.0,42466.0,57539.0,10580.0,230.0,10350.0,11.3
P0M,49750.0,14.2,74467.0,89105.0,47845.0,465.0,48825.0,9.2
P6C,19322.0,19.1,59240.0,71154.0,19310.0,245.0,19090.0,10.2
P0S,9869.0,16.1,69083.0,81464.0,9720.0,155.0,9770.0,9.4
P0M,49750.0,14.2,74467.0,89105.0,47845.0,465.0,48825.0,9.2
P5A,10741.0,31.0,42466.0,57539.0,10580.0,230.0,10350.0,11.3
P6B,22847.0,18.1,57710.0,73250.0,22270.0,1015.0,21380.0,10.3
P0R,12479.0,20.4,56666.0,71052.0,11710.0,145.0,12105.0,10.0
P6A,34720.0,15.6,65320.0,82386.0,32700.0,770.0,32720.0,10.6
K7P,21653.0,9.9,91968.0,102587.0,21450.0,2485.0,19005.0,6.4
K7M,47676.0,14.1,66454.0,83428.0,45795.0,4605.0,41300.0,8.0
K8N,28462.0,15.9,63595.0,82176.0,27940.0,1400.0,26640.0,5.6
K7K,31621.0,15.5,53314.0,67336.0,31070.0,2760.0,28440.0,9.5
K8V,27192.0,17.3,62514.0,71268.0,26680.0,920.0,25620.0,6.8
K8N,28462.0,15.9,63595.0,82176.0,27940.0,1400.0,26640.0,5.6
N0M,64764.0,12.8,75610.0,91292.0,63350.0,1080.0,62305.0,4.6
N0M,64764.0,12.8,75610.0,91292.0,63350.0,1080.0,62305.0,4.6
N0G,83818.0,14.2,67460.0,81308.0,82040.0,1165.0,80800.0,4.6
N7A,11720.0,16.8,63984.0,80963.0,11465.0,175.0,11080.0,5.4
N4W,11199.0,12.7,69504.0,84459.0,11005.0,305.0,10740.0,3.4
N0K,24378.0,12.2,74344.0,87032.0,24005.0,370.0,23530.0,3.7
N0M,64764.0,12.8,75610.0,91292.0,63350.0,1080.0,62305.0,4.6
N4X,9791.0,12.0,76434.0,90510.0,9540.0,190.0,9530.0,2.2
N5A,31302.0,13.4,64719.0,80722.0,30435.0,1665.0,28715.0,5.1
N5A,31302.0,13.4,64719.0,80722.0,30435.0,1665.0,28715.0,5.1
N0H,48330.0,14.0,69918.0,89774.0,45800.0,1025.0,46660.0,6.2
N4L,8117.0,18.8,60693.0,74878.0,7975.0,205.0,7860.0,5.7
N0C,15438.0,15.2,66944.0,89557.0,15345.0,230.0,15105.0,6.4
N4N,9901.0,17.7,58752.0,72078.0,9525.0,120.0,9330.0,5.8
N2Z,10856.0,9.6,88512.0,112488.0,10650.0,595.0,10165.0,6.4
N4K,28286.0,17.0,56712.0,74320.0,27255.0,995.0,26225.0,6.6
N0H,48330.0,14.0,69918.0,89774.0,45800.0,1025.0,46660.0,6.2
N0H,48330.0,14.0,69918.0,89774.0,45800.0,1025.0,46660.0,6.2
N0G,83818.0,14.2,67460.0,81308.0,82040.0,1165.0,80800.0,4.6
N3T,34317.0,12.9,69988.0,84707.0,33430.0,4045.0,29165.0,6.6
N3Y,22419.0,17.3,62869.0,75516.0,21595.0,640.0,20940.0,8.6
N3R,34276.0,16.5,66899.0,81133.0,33850.0,2280.0,31440.0,6.1
N3S,25765.0,20.2,52174.0,62270.0,25355.0,2150.0,23230.0,7.8
N0G,83818.0,14.2,67460.0,81308.0,82040.0,1165.0,80800.0,4.6
N4K,28286.0,17.0,56712.0,74320.0,27255.0,995.0,26225.0,6.6
K7A,16626.0,19.1,60124.0,70010.0,16355.0,350.0,15910.0,7.9
K6H,30949.0,23.0,46646.0,61974.0,28425.0,1750.0,28390.0,10.6
K7C,17666.0,11.9,81453.0,94386.0,17325.0,585.0,16870.0,5.6
K0A,103474.0,9.0,97331.0,111786.0,101990.0,2810.0,99225.0,5.0
K7H,15009.0,16.4,67651.0,81621.0,14495.0,165.0,14395.0,6.5
K6J,17644.0,23.6,47238.0,58830.0,17180.0,1040.0,16040.0,8.8
K6V,27782.0,18.1,56384.0,73355.0,26980.0,1075.0,26085.0,8.9
K6H,30949.0,23.0,46646.0,61974.0,28425.0,1750.0,28390.0,10.6
K0G,37097.0,13.1,79061.0,92336.0,36635.0,540.0,35935.0,6.4
K7A,16626.0,19.1,60124.0,70010.0,16355.0,350.0,15910.0,7.9
K4R,7435.0,7.7,109483.0,120926.0,7275.0,305.0,6885.0,4.3
K0A,103474.0,9.0,97331.0,111786.0,101990.0,2810.0,99225.0,5.0
K1G,34075.0,11.4,67205.0,84857.0,33140.0,12625.0,20515.0,10.1
K0A,103474.0,9.0,97331.0,111786.0,101990.0,2810.0,99225.0,5.0
K1N,25063.0,9.1,50203.0,72002.0,22800.0,6475.0,16330.0,11.0
K4A,54524.0,6.4,112523.0,124896.0,54260.0,15035.0,39205.0,5.7
K1G,34075.0,11.4,67205.0,84857.0,33140.0,12625.0,20515.0,10.1
K6A,12538.0,23.1,46601.0,61677.0,12095.0,405.0,11700.0,9.1
K8A,25771.0,15.9,63432.0,78182.0,24920.0,550.0,24445.0,7.3
K6H,30949.0,23.0,46646.0,61974.0,28425.0,1750.0,28390.0,10.6
K1B,17110.0,11.7,80942.0,94158.0,16835.0,4425.0,12320.0,7.3
K8V,27192.0,17.3,62514.0,71268.0,26680.0,920.0,25620.0,6.8
K2M,27028.0,6.1,113928.0,126325.0,26870.0,7000.0,19865.0,6.3
K7M,47676.0,14.1,66454.0,83428.0,45795.0,4605.0,41300.0,8.0
K2E,19034.0,11.9,72569.0,91610.0,18885.0,5565.0,13395.0,8.4
N9A,25160.0,26.5,31730.0,45683.0,24115.0,8895.0,15190.0,12.6
N9E,20688.0,11.2,88297.0,108087.0,20655.0,6025.0,14640.0,6.2
N0P,52190.0,16.1,65736.0,79332.0,50820.0,1205.0,50320.0,6.6
N5Y,34037.0,17.4,47069.0,62558.0,33985.0,8060.0,25860.0,9.7
N4T,10818.0,11.1,85792.0,104544.0,10790.0,985.0,9755.0,4.3
N4K,28286.0,17.0,56712.0,74320.0,27255.0,995.0,26225.0,6.6
N7S,27879.0,11.7,79741.0,102265.0,27125.0,2315.0,24890.0,7.7
N8N,24162.0,9.4,94848.0,121553.0,23955.0,2480.0,21535.0,4.7
L8T,19042.0,15.8,69221.0,83110.0,19020.0,2320.0,16880.0,7.3
L3B,22980.0,22.4,49180.0,60894.0,22485.0,895.0,21655.0,10.1
M2M,32320.0,11.6,60440.0,88709.0,31855.0,21575.0,9790.0,8.3
K9K,13155.0,11.4,86864.0,104216.0,12770.0,1095.0,11600.0,6.9
L4N,98663.0,11.0,81891.0,95398.0,96925.0,9625.0,87265.0,7.3
L4A,42174.0,8.5,102022.0,125112.0,41705.0,15600.0,26080.0,5.1
M1J,36699.0,20.3,54507.0,68042.0,36155.0,27675.0,8525.0,11.7
N3H,21544.0,13.4,67367.0,80482.0,20885.0,2015.0,18855.0,6.3
L4G,55445.0,5.9,106708.0,147604.0,54705.0,14695.0,40010.0,5.9
L1R,40287.0,7.0,114133.0,134024.0,39725.0,14125.0,25845.0,7.9
L5N,84829.0,8.0,100355.0,114642.0,84495.0,41415.0,43130.0,7.1
L6M,65493.0,4.7,127398.0,162998.0,64980.0,24825.0,40085.0,7.1
M6H,44950.0,10.4,63550.0,81736.0,44535.0,13905.0,30465.0,7.2
P3E,27210.0,10.4,72635.0,101633.0,26275.0,2350.0,24115.0,7.1
P0T,33027.0,17.1,66549.0,79177.0,27480.0,465.0,32415.0,11.0
P0T,33027.0,17.1,66549.0,79177.0,27480.0,465.0,32415.0,11.0
P0M,49750.0,14.2,74467.0,89105.0,47845.0,465.0,48825.0,9.2
P3P,15468.0,10.5,97324.0,104973.0,15425.0,145.0,15270.0,7.4
P0S,9869.0,16.1,69083.0,81464.0,9720.0,155.0,9770.0,9.4
P3A,24053.0,14.4,71929.0,86407.0,23185.0,1160.0,22115.0,8.2
P5A,10741.0,31.0,42466.0,57539.0,10580.0,230.0,10350.0,11.3
M5B,12785.0,6.0,49856.0,70704.0,11890.0,6635.0,5420.0,10.2
L3B,22980.0,22.4,49180.0,60894.0,22485.0,895.0,21655.0,10.1
N9B,17804.0,20.9,42170.0,54787.0,17795.0,8860.0,8890.0,13.5
M2L,11717.0,3.4,115493.0,306301.0,11620.0,5985.0,5645.0,8.2
N7S,27879.0,11.7,79741.0,102265.0,27125.0,2315.0,24890.0,7.7
N6M,5747.0,9.5,96384.0,102006.0,5695.0,1330.0,4120.0,4.3
L6H,60913.0,5.8,110184.0,145457.0,60265.0,19445.0,40830.0,6.9
L8S,14311.0,11.2,51045.0,72707.0,14000.0,4275.0,9570.0,9.8
L6Y,87654.0,12.0,81078.0,94641.0,86855.0,67095.0,19900.0,9.1
L9M,14825.0,17.8,60602.0,79797.0,13340.0,200.0,13715.0,8.8
L4C,71152.0,10.0,74046.0,105019.0,70615.0,31195.0,39300.0,7.4
L4N,98663.0,11.0,81891.0,95398.0,96925.0,9625.0,87265.0,7.3
L1V,51910.0,9.2,99216.0,117647.0,51375.0,23270.0,28285.0,8.0
M6H,44950.0,10.4,63550.0,81736.0,44535.0,13905.0,30465.0,7.2
P1B,32345.0,17.5,54886.0,70870.0,30365.0,980.0,30630.0,10.1
P0K,11374.0,16.4,66036.0,80264.0,10970.0,155.0,11140.0,11.3
P2B,9747.0,21.8,51945.0,69497.0,8990.0,125.0,9335.0,11.1
P0L,24896.0,17.8,62611.0,77819.0,18600.0,250.0,24395.0,12.2
P5N,8467.0,17.6,60134.0,75128.0,8285.0,110.0,8230.0,8.7
P1B,32345.0,17.5,54886.0,70870.0,30365.0,980.0,30630.0,10.1
P4R,4847.0,8.6,105920.0,120362.0,4825.0,65.0,4720.0,6.0
K0A,103474.0,9.0,97331.0,111786.0,101990.0,2810.0,99225.0,5.0
K0A,103474.0,9.0,97331.0,111786.0,101990.0,2810.0,99225.0,5.0
K0B,20945.0,15.0,67424.0,80285.0,20480.0,350.0,20160.0,6.0
K0A,103474.0,9.0,97331.0,111786.0,101990.0,2810.0,99225.0,5.0
K6H,30949.0,23.0,46646.0,61974.0,28425.0,1750.0,28390.0,10.6
K0C,52154.0,14.7,70388.0,82234.0,51110.0,825.0,50300.0,6.4
K4K,15368.0,11.0,87488.0,98238.0,15155.0,820.0,14235.0,4.9
K6A,12538.0,23.1,46601.0,61677.0,12095.0,405.0,11700.0,9.1
P7A,28418.0,15.1,67226.0,79095.0,27575.0,670.0,27040.0,7.8
P5N,8467.0,17.6,60134.0,75128.0,8285.0,110.0,8230.0,8.7
P0J,20848.0,17.3,60709.0,75033.0,20520.0,345.0,20095.0,8.4
P0L,24896.0,17.8,62611.0,77819.0,18600.0,250.0,24395.0,12.2
P5N,8467.0,17.6,60134.0,75128.0,8285.0,110.0,8230.0,8.7
P0L,24896.0,17.8,62611.0,77819.0,18600.0,250.0,24395.0,12.2
P0L,24896.0,17.8,62611.0,77819.0,18600.0,250.0,24395.0,12.2
P2N,7188.0,18.0,51281.0,69448.0,6960.0,115.0,6795.0,8.2
P0K,11374.0,16.4,66036.0,80264.0,10970.0,155.0,11140.0,11.3
P0J,20848.0,17.3,60709.0,75033.0,20520.0,345.0,20095.0,8.4
P4N,24575.0,14.9,63286.0,79810.0,24195.0,510.0,23770.0,8.2
P4N,24575.0,14.9,63286.0,79810.0,24195.0,510.0,23770.0,8.2
K6V,27782.0,18.1,56384.0,73355.0,26980.0,1075.0,26085.0,8.9
K4A,54524.0,6.4,112523.0,124896.0,54260.0,15035.0,39205.0,5.7
K1K,29499.0,16.2,56462.0,71588.0,28785.0,9095.0,19575.0,10.9
K2H,26402.0,9.8,86351.0,111827.0,25225.0,4690.0,20835.0,7.9
K1K,29499.0,16.2,56462.0,71588.0,28785.0,9095.0,19575.0,10.9
K1G,34075.0,11.4,67205.0,84857.0,33140.0,12625.0,20515.0,10.1
K1C,37662.0,8.7,102212.0,118694.0,36935.0,7205.0,29770.0,6.6
K8A,25771.0,15.9,63432.0,78182.0,24920.0,550.0,24445.0,7.3
K7M,47676.0,14.1,66454.0,83428.0,45795.0,4605.0,41300.0,8.0
K1W,10032.0,5.5,122368.0,136187.0,9905.0,3150.0,6760.0,5.2
K2S,32061.0,6.1,121655.0,137808.0,31515.0,3730.0,27735.0,4.6
K2J,68963.0,6.5,106679.0,120208.0,68705.0,24555.0,44100.0,5.8
K0G,37097.0,13.1,79061.0,92336.0,36635.0,540.0,35935.0,6.4
P3A,24053.0,14.4,71929.0,86407.0,23185.0,1160.0,22115.0,8.2
P3C,16249.0,21.4,41662.0,53508.0,15980.0,735.0,15180.0,12.3
P0M,49750.0,14.2,74467.0,89105.0,47845.0,465.0,48825.0,9.2
P5E,5229.0,15.4,68494.0,79362.0,5135.0,75.0,5065.0,7.2
P0R,12479.0,20.4,56666.0,71052.0,11710.0,145.0,12105.0,10.0
P3N,8125.0,11.1,91418.0,102830.0,7975.0,60.0,7785.0,7.5
P0S,9869.0,16.1,69083.0,81464.0,9720.0,155.0,9770.0,9.4
P0M,49750.0,14.2,74467.0,89105.0,47845.0,465.0,48825.0,9.2
P3C,16249.0,21.4,41662.0,53508.0,15980.0,735.0,15180.0,12.3
P6B,22847.0,18.1,57710.0,73250.0,22270.0,1015.0,21380.0,10.3
P1B,32345.0,17.5,54886.0,70870.0,30365.0,980.0,30630.0,10.1
P0H,31187.0,16.9,67116.0,81160.0,30245.0,265.0,30210.0,9.5
P2B,9747.0,21.8,51945.0,69497.0,8990.0,125.0,9335.0,11.1
L2J,14463.0,15.7,67597.0,87507.0,14320.0,1185.0,13210.0,7.1
L0R,97999.0,9.6,96701.0,114017.0,96610.0,7565.0,89200.0,4.4
L3C,31670.0,17.0,65020.0,77348.0,31365.0,1840.0,29380.0,7.7
L2S,19006.0,13.9,68701.0,85553.0,18795.0,2920.0,15975.0,6.7
L0S,55265.0,12.2,81381.0,102286.0,54100.0,2425.0,51675.0,5.7
L3B,22980.0,22.4,49180.0,60894.0,22485.0,895.0,21655.0,10.1
L2N,30648.0,15.1,67315.0,84398.0,29365.0,2610.0,26725.0,8.0
L2A,16532.0,19.3,57127.0,71769.0,16130.0,1240.0,14945.0,8.9
L2N,30648.0,15.1,67315.0,84398.0,29365.0,2610.0,26725.0,8.0
L2A,16532.0,19.3,57127.0,71769.0,16130.0,1240.0,14945.0,8.9
L3M,26845.0,10.0,93115.0,109047.0,26365.0,1420.0,24945.0,4.7
L2M,32759.0,18.5,58477.0,70754.0,32220.0,3960.0,28315.0,8.2
L2N,30648.0,15.1,67315.0,84398.0,29365.0,2610.0,26725.0,8.0
L3K,18226.0,19.7,56800.0,73367.0,17780.0,360.0,17360.0,9.7
L0S,55265.0,12.2,81381.0,102286.0,54100.0,2425.0,51675.0,5.7
L2T,10684.0,14.5,61914.0,80721.0,10480.0,1730.0,8750.0,8.4
L0R,97999.0,9.6,96701.0,114017.0,96610.0,7565.0,89200.0,4.4
L2R,24496.0,16.2,47245.0,64487.0,23585.0,2730.0,20695.0,8.8
L2G,26096.0,20.1,54289.0,66072.0,25500.0,3125.0,22395.0,9.0
L2V,16268.0,15.6,62522.0,76042.0,16125.0,1695.0,14485.0,8.7
L2H,25616.0,12.3,80348.0,92988.0,25025.0,5010.0,20085.0,6.2
P0L,24896.0,17.8,62611.0,77819.0,18600.0,250.0,24395.0,12.2
P0J,20848.0,17.3,60709.0,75033.0,20520.0,345.0,20095.0,8.4
P0L,24896.0,17.8,62611.0,77819.0,18600.0,250.0,24395.0,12.2
P0K,11374.0,16.4,66036.0,80264.0,10970.0,155.0,11140.0,11.3
P5N,8467.0,17.6,60134.0,75128.0,8285.0,110.0,8230.0,8.7
P2N,7188.0,18.0,51281.0,69448.0,6960.0,115.0,6795.0,8.2
P4N,24575.0,14.9,63286.0,79810.0,24195.0,510.0,23770.0,8.2
P0N,9420.0,11.7,83397.0,95642.0,9285.0,85.0,9100.0,8.1
P0J,20848.0,17.3,60709.0,75033.0,20520.0,345.0,20095.0,8.4
P4N,24575.0,14.9,63286.0,79810.0,24195.0,510.0,23770.0,8.2
L5M,104868.0,7.7,98908.0,121032.0,104180.0,74325.0,29645.0,8.7
L4T,38445.0,19.5,61835.0,72002.0,38275.0,31570.0,6700.0,10.7
L6P,82182.0,11.1,102070.0,116509.0,82000.0,73175.0,8650.0,7.5
L6W,22128.0,13.9,71462.0,89904.0,21930.0,10125.0,11640.0,7.9
L5B,63394.0,11.7,63412.0,76619.0,62760.0,42130.0,20595.0,9.6
L6S,53308.0,12.6,86240.0,98269.0,53260.0,30535.0,23000.0,8.1
L5J,28089.0,8.1,88843.0,123130.0,27685.0,7855.0,19880.0,7.3
L4W,20761.0,11.6,89424.0,108061.0,20050.0,6365.0,13700.0,6.2
L5L,44860.0,9.6,93909.0,118347.0,44330.0,19520.0,24830.0,8.3
L6Z,32749.0,9.6,99206.0,114453.0,32545.0,16265.0,16475.0,7.5
L5N,84829.0,8.0,100355.0,114642.0,84495.0,41415.0,43130.0,7.1
L4W,20761.0,11.6,89424.0,108061.0,20050.0,6365.0,13700.0,6.2
L7C,24632.0,7.5,114146.0,137228.0,24595.0,8440.0,16150.0,5.2
L5M,104868.0,7.7,98908.0,121032.0,104180.0,74325.0,29645.0,8.7
L6Y,87654.0,12.0,81078.0,94641.0,86855.0,67095.0,19900.0,9.1
L7A,80236.0,9.7,98633.0,105356.0,80195.0,62925.0,17460.0,8.2
L5R,37126.0,11.3,82185.0,96891.0,37075.0,27365.0,9715.0,8.5
L5V,50821.0,9.0,100925.0,113527.0,50465.0,39915.0,10795.0,9.3
L5W,24871.0,7.2,114643.0,130357.0,24725.0,19080.0,5575.0,6.8
L6R,88002.0,12.3,91710.0,101577.0,87535.0,78360.0,9095.0,8.7
L5C,29687.0,11.6,82670.0,101303.0,29660.0,16140.0,13580.0,8.4
L5E,12731.0,11.3,78933.0,97109.0,12715.0,2525.0,10275.0,7.5
L6S,53308.0,12.6,86240.0,98269.0,53260.0,30535.0,23000.0,8.1
L5M,104868.0,7.7,98908.0,121032.0,104180.0,74325.0,29645.0,8.7
L7E,33934.0,7.6,112722.0,134624.0,33760.0,3140.0,30580.0,6.0
L6X,67070.0,10.8,90087.0,101989.0,66710.0,46535.0,19915.0,8.4
L1P,17479.0,7.3,109137.0,129180.0,17465.0,6035.0,11125.0,8.8
L1S,40689.0,11.4,83781.0,98757.0,40470.0,14035.0,26545.0,8.8
L1N,47572.0,11.0,85673.0,100360.0,46575.0,8335.0,38375.0,7.7
L1R,40287.0,7.0,114133.0,134024.0,39725.0,14125.0,25845.0,7.9
L1H,31261.0,17.0,60691.0,72999.0,30835.0,2675.0,27960.0,10.8
L1J,41793.0,16.3,63795.0,79390.0,41460.0,5205.0,36065.0,10.5
L1T,50536.0,8.5,107702.0,123380.0,50265.0,32595.0,17660.0,8.0
L1V,51910.0,9.2,99216.0,117647.0,51375.0,23270.0,28285.0,8.0
L1S,40689.0,11.4,83781.0,98757.0,40470.0,14035.0,26545.0,8.8
L1N,47572.0,11.0,85673.0,100360.0,46575.0,8335.0,38375.0,7.7
L0E,20497.0,13.7,74022.0,85858.0,19820.0,1075.0,19050.0,5.7
L1M,21878.0,5.8,129002.0,145088.0,21855.0,3495.0,18295.0,5.1
L1H,31261.0,17.0,60691.0,72999.0,30835.0,2675.0,27960.0,10.8
L1P,17479.0,7.3,109137.0,129180.0,17465.0,6035.0,11125.0,8.8
L1V,51910.0,9.2,99216.0,117647.0,51375.0,23270.0,28285.0,8.0
L1J,41793.0,16.3,63795.0,79390.0,41460.0,5205.0,36065.0,10.5
L1G,41124.0,16.3,62653.0,77058.0,40065.0,4795.0,35535.0,10.3
L1J,41793.0,16.3,63795.0,79390.0,41460.0,5205.0,36065.0,10.5
L1N,47572.0,11.0,85673.0,100360.0,46575.0,8335.0,38375.0,7.7
L1T,50536.0,8.5,107702.0,123380.0,50265.0,32595.0,17660.0,8.0
L1K,39697.0,9.7,100427.0,111101.0,39685.0,9965.0,29835.0,8.0
L1G,41124.0,16.3,62653.0,77058.0,40065.0,4795.0,35535.0,10.3
L1T,50536.0,8.5,107702.0,123380.0,50265.0,32595.0,17660.0,8.0
L1X,19481.0,8.1,110720.0,130928.0,19440.0,11335.0,7930.0,7.8
L9L,14897.0,10.5,90272.0,109649.0,14405.0,555.0,13885.0,5.0
L1J,41793.0,16.3,63795.0,79390.0,41460.0,5205.0,36065.0,10.5
L1R,40287.0,7.0,114133.0,134024.0,39725.0,14125.0,25845.0,7.9
L9P,16814.0,8.6,97997.0,124520.0,16625.0,905.0,15930.0,5.4
N3T,34317.0,12.9,69988.0,84707.0,33430.0,4045.0,29165.0,6.6
N0A,29853.0,14.5,74166.0,85920.0,28665.0,540.0,28605.0,6.2
N4B,7772.0,18.2,61232.0,72755.0,7535.0,190.0,7350.0,7.6
N1A,12000.0,18.4,62259.0,74478.0,11820.0,200.0,11620.0,7.5
N3S,25765.0,20.2,52174.0,62270.0,25355.0,2150.0,23230.0,7.8
N0A,29853.0,14.5,74166.0,85920.0,28665.0,540.0,28605.0,6.2
N3W,13409.0,9.7,96054.0,115696.0,13365.0,310.0,13080.0,4.9
N3R,34276.0,16.5,66899.0,81133.0,33850.0,2280.0,31440.0,6.1
N3L,14684.0,11.4,84565.0,96446.0,14195.0,345.0,13735.0,4.0
N3S,25765.0,20.2,52174.0,62270.0,25355.0,2150.0,23230.0,7.8
N3Y,22419.0,17.3,62869.0,75516.0,21595.0,640.0,20940.0,8.6
N3R,34276.0,16.5,66899.0,81133.0,33850.0,2280.0,31440.0,6.1
N0E,34772.0,13.9,77325.0,91307.0,34070.0,410.0,34185.0,5.9
N0E,34772.0,13.9,77325.0,91307.0,34070.0,410.0,34185.0,5.9
N0R,46403.0,10.3,89643.0,108965.0,45245.0,1795.0,43130.0,4.5
N8M,11110.0,13.4,72751.0,85344.0,10950.0,210.0,10940.0,6.5
N9V,20208.0,12.0,82750.0,101521.0,19925.0,705.0,19240.0,6.6
N8X,15575.0,21.3,44928.0,56272.0,15340.0,3600.0,11815.0,11.0
N9Y,14814.0,13.2,74752.0,95106.0,13960.0,400.0,13340.0,5.8
N8H,25905.0,17.5,61914.0,79419.0,24285.0,3135.0,21200.0,6.0
N8S,21819.0,15.4,60312.0,78536.0,21795.0,2250.0,19465.0,7.8
N9J,19358.0,7.9,104524.0,124242.0,19335.0,1720.0,17545.0,4.9
N8N,24162.0,9.4,94848.0,121553.0,23955.0,2480.0,21535.0,4.7
N9E,20688.0,11.2,88297.0,108087.0,20655.0,6025.0,14640.0,6.2
N8W,23796.0,15.4,65475.0,76011.0,23630.0,4675.0,18820.0,7.6
N8Y,18935.0,18.7,49688.0,62873.0,18640.0,2435.0,16390.0,8.8
N9V,20208.0,12.0,82750.0,101521.0,19925.0,705.0,19240.0,6.6
N9B,17804.0,20.9,42170.0,54787.0,17795.0,8860.0,8890.0,13.5
N9B,17804.0,20.9,42170.0,54787.0,17795.0,8860.0,8890.0,13.5
L7N,12972.0,8.8,83695.0,128673.0,12550.0,1240.0,11330.0,5.0
L9T,103839.0,7.5,104077.0,117452.0,102645.0,45710.0,57280.0,5.6
L7G,46057.0,6.8,110751.0,132895.0,45210.0,3285.0,41975.0,5.3
L7L,46761.0,7.4,101915.0,125593.0,45905.0,7745.0,38145.0,5.3
L6H,60913.0,5.8,110184.0,145457.0,60265.0,19445.0,40830.0,6.9
L9T,103839.0,7.5,104077.0,117452.0,102645.0,45710.0,57280.0,5.6
L7M,47925.0,6.4,111955.0,138307.0,47325.0,10705.0,36545.0,5.7
L6M,65493.0,4.7,127398.0,162998.0,64980.0,24825.0,40085.0,7.1
L6K,13009.0,8.6,65237.0,134933.0,12790.0,3145.0,9770.0,6.6
L6K,13009.0,8.6,65237.0,134933.0,12790.0,3145.0,9770.0,6.6
L6M,65493.0,4.7,127398.0,162998.0,64980.0,24825.0,40085.0,7.1
L7J,13634.0,9.5,94903.0,108401.0,13580.0,700.0,12815.0,4.3
L7T,17728.0,10.1,81137.0,115474.0,17385.0,1935.0,15365.0,6.3
L7S,12191.0,12.2,66636.0,86241.0,11780.0,1825.0,10020.0,6.8
L9T,103839.0,7.5,104077.0,117452.0,102645.0,45710.0,57280.0,5.6
L7M,47925.0,6.4,111955.0,138307.0,47325.0,10705.0,36545.0,5.7
L6M,65493.0,4.7,127398.0,162998.0,64980.0,24825.0,40085.0,7.1
L7N,12972.0,8.8,83695.0,128673.0,12550.0,1240.0,11330.0,5.0
L7N,12972.0,8.8,83695.0,128673.0,12550.0,1240.0,11330.0,5.0
L7G,46057.0,6.8,110751.0,132895.0,45210.0,3285.0,41975.0,5.3
L9T,103839.0,7.5,104077.0,117452.0,102645.0,45710.0,57280.0,5.6
L6H,60913.0,5.8,110184.0,145457.0,60265.0,19445.0,40830.0,6.9
L7N,12972.0,8.8,83695.0,128673.0,12550.0,1240.0,11330.0,5.0
L6H,60913.0,5.8,110184.0,145457.0,60265.0,19445.0,40830.0,6.9
L7G,46057.0,6.8,110751.0,132895.0,45210.0,3285.0,41975.0,5.3
L6H,60913.0,5.8,110184.0,145457.0,60265.0,19445.0,40830.0,6.9
L7M,47925.0,6.4,111955.0,138307.0,47325.0,10705.0,36545.0,5.7
